,"time, s","x_all, m^2","y_all, m^2","z_all, m^2","r_all, m^2","x_2, m^2","y_2, m^2","z_2, m^2","r_2, m^2","x_5, m^2","y_5, m^2","z_5, m^2","r_5, m^2"
18,1.35e-09,4.465025451724389e-21,3.831211976568744e-21,3.551217197178605e-21,1.1847454625471738e-20,5.620470252203047e-21,4.9417561815248686e-21,4.719762615862189e-21,1.5281989049590103e-20,2.156392578893006e-21,1.6122925983067995e-21,1.2164086750823052e-21,4.985093852282111e-21
19,1.425e-09,4.542716266254102e-21,3.847636415783642e-21,3.64634341862787e-21,1.2036696100665614e-20,5.834669914723763e-21,4.914105657201494e-21,4.80425351100699e-21,1.5553029082932248e-20,1.9613323162844472e-21,1.7167808806850825e-21,1.3327847770188043e-21,5.010897973988334e-21
20,1.5e-09,4.765966486284861e-21,4.07541413770327e-21,3.6936467412917925e-21,1.2535027365279923e-20,6.1881485959943305e-21,5.202998448580666e-21,4.952888321624965e-21,1.6344035366199963e-20,1.9243799662989483e-21,1.822447829055663e-21,1.1776230368370349e-21,4.924450832191646e-21
21,1.575e-09,4.916819894269405e-21,4.143915500488079e-21,4.009572632227061e-21,1.3070308026984544e-20,6.4235921889238276e-21,5.370068350804289e-21,5.308131601770326e-21,1.7101792141498443e-20,1.906218219598555e-21,1.694004629641432e-21,1.4149909411279196e-21,5.015213790367906e-21
22,1.6499999999999999e-09,5.108932796856045e-21,4.400587387936717e-21,4.212556375246032e-21,1.3722076560038795e-20,6.755320311012313e-21,5.757371750043342e-21,5.641308930006306e-21,1.8154000991061962e-20,1.8193733691570944e-21,1.6896686331807065e-21,1.357841798059e-21,4.866883800396801e-21
23,1.725e-09,5.259794678396449e-21,4.5856039697444475e-21,4.452221780765857e-21,1.4297620428906756e-20,7.011664510786673e-21,6.006796647514497e-21,6.030751282841997e-21,1.904921244114317e-20,1.7594766343823836e-21,1.7459943811531195e-21,1.298245842047318e-21,4.803716857582821e-21
24,1.8e-09,5.510393831299403e-21,4.794270740719137e-21,4.736964451819834e-21,1.5041629023838375e-20,7.396771913768905e-21,6.3109515031954454e-21,6.484955113889334e-21,2.0192678530853683e-20,1.741321998552723e-21,1.7638714828807317e-21,1.2443971719426887e-21,4.749590653376143e-21
25,1.875e-09,6.091511054491926e-21,5.120267015211209e-21,4.754611494068998e-21,1.5966389563772135e-20,8.145144826637775e-21,6.818970558270393e-21,6.4106765011772245e-21,2.1374791886085392e-20,1.98825451366145e-21,1.726177709450377e-21,1.445715981819551e-21,5.160148204931379e-21
26,1.95e-09,6.199925625551091e-21,5.310273226931837e-21,5.158320199027648e-21,1.6668519051510575e-20,8.351967888536073e-21,7.082769241957902e-21,7.11592159945463e-21,2.2550658729948605e-20,1.900044307126016e-21,1.768743103159055e-21,1.2469408384088966e-21,4.915728248693968e-21
27,2.025e-09,6.552230538978141e-21,5.423515804393201e-21,5.195272849385982e-21,1.7171019192757323e-20,8.95330731807588e-21,7.3096918470512e-21,7.041530067360555e-21,2.3304529232487633e-20,1.7547665838668376e-21,1.654847656660518e-21,1.5063643845656935e-21,4.915978625093049e-21
