,"time, s","msd_all, m^2","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_Cr, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Ta, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2"
10,7.5e-10,7.759623607581241e-21,2.5815925250456973e-21,2.581908351696727e-21,2.5961227308388186e-21,9.569911482378873e-21,3.1621947629041718e-21,3.197965204472777e-21,3.2097515150019223e-21,4.1425835764914396e-21,1.4215220380745606e-21,1.3509978821852022e-21,1.3700636562316742e-21
11,8.249999999999999e-10,8.365507742133835e-21,2.783582880237292e-21,2.7795522031679444e-21,2.802372658728598e-21,1.035285012910729e-20,3.420775854497439e-21,3.454472877751868e-21,3.477601396857974e-21,4.394704496286492e-21,1.5104414492448487e-21,1.4310290584426405e-21,1.4532339885989979e-21
12,9e-10,8.970321701521527e-21,2.983456439964873e-21,2.9808790806045942e-21,3.005986180952055e-21,1.1133594251658745e-20,3.6765682446441976e-21,3.716080417767912e-21,3.740945589246633e-21,4.648001742946563e-21,1.5985865645997386e-21,1.511912346389603e-21,1.5375028319572209e-21
13,9.75e-10,9.571992885846309e-21,3.183591575079468e-21,3.179108971814511e-21,3.2092923389523375e-21,1.19114417162334e-20,3.931095857616256e-21,3.9748412528946654e-21,4.005504605722473e-21,4.897664461069006e-21,1.6900429793077099e-21,1.5891985742656948e-21,1.618422907495598e-21
14,1.0499999999999999e-09,1.0181844781614688e-20,3.384149310672351e-21,3.382344579962118e-21,3.415350890980216e-21,1.2698686950426663e-20,4.188610596341247e-21,4.239208847826134e-21,4.270867506259279e-21,5.153076151351698e-21,1.776797952783137e-21,1.6702896072572626e-21,1.7059885913113013e-21
15,1.125e-09,1.0792177533731005e-20,3.584303483487154e-21,3.58539713858391e-21,3.622476911659946e-21,1.3486621513296246e-20,4.44413057400078e-21,4.503602791614054e-21,4.538888147681417e-21,5.40855216049812e-21,1.8663286522460505e-21,1.750779202939702e-21,1.791444305312365e-21
16,1.2e-09,1.1397260125630702e-20,3.7860661381933944e-21,3.783853436381435e-21,3.827340551055871e-21,1.426767105686646e-20,4.7009984184251286e-21,4.763114271724898e-21,4.80355836671642e-21,5.6620445345092994e-21,1.9579885548397502e-21,1.827244384513551e-21,1.8768115951559983e-21
17,1.275e-09,1.2004830346909319e-20,3.9863163756421546e-21,3.986712111116344e-21,4.031801860150829e-21,1.5051153246204517e-20,4.9560771616773196e-21,5.02824924136155e-21,5.0668268431656694e-21,5.918134397731577e-21,2.0486888676070508e-21,1.90567210283343e-21,1.9637734272910913e-21
18,1.35e-09,1.261378595031714e-20,4.1896705344030074e-21,4.18918964266744e-21,4.234925773246692e-21,1.5838045162098512e-20,5.215150371873245e-21,5.293208005879705e-21,5.3296867843455375e-21,6.171564908027421e-21,2.1407137497700888e-21,1.983309202108534e-21,2.0475419561487955e-21
19,1.425e-09,1.322335413665144e-20,4.3897054791278004e-21,4.3955810419667415e-21,4.438067615556906e-21,1.6625714160632602e-20,5.471861288180851e-21,5.560729180279001e-21,5.5931236921727566e-21,6.4252793231109726e-21,2.22750744658626e-21,2.0675604452998712e-21,2.1302114312248425e-21
20,1.5e-09,1.3833866690664948e-20,4.592210345090698e-21,4.598968781875502e-21,4.6426875636987384e-21,1.74126083646426e-20,5.730353377705157e-21,5.8259531986907655e-21,5.856301788246669e-21,6.683373072541636e-21,2.318147215472371e-21,2.1473964021840632e-21,2.217829454885201e-21
21,1.575e-09,1.4447123935661026e-20,4.7952489079877294e-21,4.805072703570443e-21,4.846802324102866e-21,1.8201561396567142e-20,5.9884357353774006e-21,6.093565840722057e-21,6.1195598204676816e-21,6.94558189951468e-21,2.4112056962306345e-21,2.230603017425719e-21,2.3037731858583326e-21
22,1.6499999999999999e-09,1.5057933093562834e-20,4.997363245653835e-21,5.008914118249637e-21,5.051655729659361e-21,1.8993616002580843e-20,6.2471524439497875e-21,6.361022717459571e-21,6.385440841171468e-21,7.194254156208487e-21,2.5002258435898343e-21,2.3073377569375813e-21,2.3866905556810743e-21
23,1.725e-09,1.5671748637619908e-20,5.202111872301931e-21,5.21365088401762e-21,5.255985881300364e-21,1.9783592504851206e-20,6.508695155570322e-21,6.6256651854416106e-21,6.649232163839278e-21,7.45609184821052e-21,2.5914972262402826e-21,2.392380121602117e-21,2.472214500368123e-21
24,1.8e-09,1.6284186877752814e-20,5.408051606803739e-21,5.421443295898208e-21,5.4546919750508645e-21,2.0571060062099935e-20,6.768246303221408e-21,6.895875465744766e-21,6.906938293133768e-21,7.718813308246726e-21,2.6903188442348425e-21,2.475458706536831e-21,2.553035757475055e-21
25,1.875e-09,1.689878552118798e-20,5.609350053059319e-21,5.62963236559179e-21,5.6598031025368855e-21,2.1361914283154557e-20,7.023801007215963e-21,7.166874993826837e-21,7.171238282111751e-21,7.981245045618082e-21,2.7832107442658543e-21,2.55814953612996e-21,2.6398847652222673e-21
26,1.95e-09,1.7508039296349925e-20,5.813277384567435e-21,5.831472087141851e-21,5.8632898246406364e-21,2.2142033422028677e-20,7.280756029039863e-21,7.427703426068668e-21,7.433573966920158e-21,8.2491018147691e-21,2.8811862648500592e-21,2.6421270486220654e-21,2.72578850129698e-21
27,2.025e-09,1.8117049831675497e-20,6.012469018451352e-21,6.039108502623075e-21,6.065472310601061e-21,2.292408390188464e-20,7.532186180254015e-21,7.697284494620015e-21,7.694613227010587e-21,8.5123704296756e-21,2.976002892427675e-21,2.7259951436135564e-21,2.8103723936343717e-21
28,2.0999999999999998e-09,1.8724321533448133e-20,6.214653825666497e-21,6.2431725874587555e-21,6.26649512032288e-21,2.370312439327503e-20,7.786803829448082e-21,7.96302437561525e-21,7.953296188211717e-21,8.776440038129923e-21,3.073424423579459e-21,2.8068280966695263e-21,2.896187517880933e-21
