,"time, s","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_all, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Cr, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2","msd_Ta, m^2"
38,2.85e-09,8.429745081142712e-21,7.626694594557648e-21,1.6364641577282116e-20,3.242108125298247e-20,1.1095452372963608e-20,9.949633336861434e-21,1.8832372925233652e-20,3.987745863505869e-20,3.1035369570552605e-21,2.9853540996811402e-21,1.143399866916801e-20,1.7522889725904412e-20
39,2.925e-09,8.806017102519591e-21,7.591117576149685e-21,1.676723384747545e-20,3.316436852614473e-20,1.1599885768140656e-20,9.643750896545187e-21,1.917258046363205e-20,4.0416217128317895e-20,3.223736546014999e-21,3.489859984812576e-21,1.1961238557771922e-20,1.8674835088599498e-20
40,3e-09,8.795873385811405e-21,8.11434101351792e-21,7.830826265031552e-21,2.4741040664360874e-20,1.152718524240662e-20,1.040991022014524e-20,1.0379102962830062e-20,3.2316198425381926e-20,3.3385842660908878e-21,3.527686133869975e-21,2.7392499723599206e-21,9.605520372320784e-21
41,3.075e-09,8.850969690573456e-21,8.010288132017764e-21,7.889211434464465e-21,2.4750469257055685e-20,1.1574419727409906e-20,1.0133146182763995e-20,1.0380546691575346e-20,3.208811260174925e-20,3.40938885525375e-21,3.768718237655669e-21,2.9114068094167473e-21,1.0089513902326167e-20
42,3.15e-09,9.075351356975861e-21,8.267140431887312e-21,8.229746528338505e-21,2.5572238317201678e-20,1.1671078897706521e-20,1.0412929304545693e-20,1.0814474402910697e-20,3.2898482605162906e-20,3.888966055867535e-21,3.979753680462462e-21,3.0653390758241393e-21,1.0934058812154137e-20
43,3.225e-09,9.326398079022415e-21,8.771561556911206e-21,8.399989904228925e-21,2.6497949540162544e-20,1.1887202437677962e-20,1.0988119843375899e-20,1.0946844488095888e-20,3.382216676914974e-20,4.2097909327243234e-21,4.3427741993850646e-21,3.3112550618541136e-21,1.1863820193963501e-20
44,3.2999999999999998e-09,9.616714432583655e-21,8.882129510476727e-21,8.715017760751574e-21,2.7213861703811954e-20,1.2318409426656474e-20,1.1206888185265538e-20,1.1349912361778671e-20,3.487520997370068e-20,4.218601192473316e-21,4.237152705185806e-21,3.4503748372150114e-21,1.1906128734874133e-20
45,3.375e-09,9.726346791195085e-21,9.21412273192438e-21,8.61329674755812e-21,2.7553766270677586e-20,1.2510992814566289e-20,1.160873803376677e-20,1.1360496675732306e-20,3.548022752406537e-20,4.16249350621707e-21,4.4295691112510175e-21,3.124262516069464e-21,1.1716325133537551e-20
46,3.45e-09,9.771878821859425e-21,9.539113715488165e-21,9.272445531964367e-21,2.858343806931196e-20,1.2563119363920364e-20,1.2074078454132604e-20,1.2032410484701174e-20,3.666960830275414e-20,4.194849379421257e-21,4.474135341204448e-21,3.757906183039065e-21,1.2426890903664771e-20
47,3.525e-09,9.957643056273898e-21,9.799052891575464e-21,8.971230844133323e-21,2.872792679198269e-20,1.2781175206511877e-20,1.2228533577050742e-20,1.1800638891282764e-20,3.681034767484539e-20,4.316093467028876e-21,4.944836600088728e-21,3.3179409374265244e-21,1.2578871004544127e-20
48,3.6e-09,1.0476477389624923e-20,9.878519403904613e-21,9.252058159468249e-21,2.9607054952997785e-20,1.345085773452504e-20,1.2488657839743955e-20,1.2224621467091066e-20,3.816413704136006e-20,4.533526036435821e-21,4.6633404588584256e-21,3.3127373319328163e-21,1.2509603827227063e-20
49,3.675e-09,1.018803351356886e-20,1.0185643466191132e-20,9.60357888564538e-21,2.9977255865405375e-20,1.301546838510617e-20,1.2876999837359977e-20,1.273128025935323e-20,3.862374848181938e-20,4.5386861042277124e-21,4.808187279265887e-21,3.3542849299751996e-21,1.2701158313468799e-20
50,3.75e-09,1.0479388550927191e-20,1.0225674366745144e-20,9.473830730708937e-21,3.0178893648381274e-20,1.346269294547191e-20,1.2879962381620502e-20,1.25387554137666e-20,3.888141074085901e-20,4.5186065282333465e-21,4.922282493273477e-21,3.3499675456152034e-21,1.2790856567122026e-20
51,3.825e-09,1.0867722325658961e-20,1.0369086169863948e-20,9.853579385384977e-21,3.1090387880907884e-20,1.382920351919533e-20,1.3192828511499326e-20,1.3075913629816317e-20,4.009794566051097e-20,4.9505440815423545e-21,4.727116608354203e-21,3.415204518093451e-21,1.3092865207990008e-20
52,3.9e-09,1.0858830865134252e-20,1.0999514101913918e-20,9.927715251332025e-21,3.1786060218380195e-20,1.3900836300662305e-20,1.391997067155457e-20,1.3275397816177033e-20,4.109620478839391e-20,4.780761410944416e-21,5.164304979370199e-21,3.238888564151472e-21,1.3183954954466088e-20
53,3.975e-09,1.1186293798839428e-20,1.0719461750060171e-20,1.0062523023508079e-20,3.1968278572407677e-20,1.4236040414377443e-20,1.3775191706907185e-20,1.3333231797172053e-20,4.134446391845668e-20,5.092757104121878e-21,4.613970058938109e-21,3.527493579253693e-21,1.323422074231368e-20
